vx(m/s),vy(m/s),yaw_rate(rad/s),steering(rad),throttle(%),brake(%)
9.16661167,-0.05222568,-0.03793747,-0.014457444090388596,0.0,0.0
9.14528751,-0.05247745,-0.03781638,-0.014457444090388596,0.0,0.0
9.10268402,-0.05223835,-0.03766615,-0.014457444090388596,0.0,0.0
9.08141327,-0.05191082,-0.03758517,-0.0136914868033481,0.0,0.0
9.06016636,-0.05156884,-0.0375074,-0.012734039924093573,0.0,0.0
9.03894806,-0.05105323,-0.03731745,-0.01134574200326529,0.0,0.0
8.99664402,-0.04674023,-0.03435801,-0.0072765941187031115,0.0,0.0
8.97555733,-0.04298341,-0.03150285,-0.0013404254145932093,0.0,0.0
8.95450974,-0.0378609,-0.02755224,0.0019867016524091462,0.0,0.0
8.93350697,-0.02572894,-0.01889236,0.005098403523169319,0.0,0.0
8.8915081,-0.00536743,-0.00214368,0.010795210777919503,0.0,0.0
8.87055397,-0.00097263,0.00178065,0.016970742229567903,0.0,0.0
8.84960079,0.00926834,0.00770385,0.020082444100328077,0.0,0.0
8.80741501,0.04284263,0.0331572,0.025994677200409832,0.0,0.0
8.76533222,0.0673511,0.05077485,0.030877655743700105,0.0,0.0
8.72338867,0.08760473,0.06330782,0.034085099381483464,0.0,0.0
8.70255756,0.09217136,0.06766966,0.03623935567116789,0.0,0.0
8.66077423,0.10939777,0.07881203,0.03851328911554053,0.0,0.0
8.61928654,0.11899464,0.08594537,0.04140956968459487,0.0,0.0
8.59867668,0.12095836,0.08785973,0.04401861218715494,0.0,0.0
8.59867668,0.12095836,0.08785973,0.04401861218715494,0.0,0.0
8.55723667,0.1338297,0.09679958,0.04617286328412424,0.01586962,0.0
8.51631355,0.14261509,0.10370163,0.046890951959466,0.03173925,0.0
8.51631355,0.14261509,0.10370163,0.046890951959466,0.03173925,0.0
8.49757004,0.14477883,0.10599089,0.04674732903168252,0.04762413,0.0
8.46421719,0.1543294,0.11277564,0.04600530994502773,0.05555895,0.0
8.43648815,0.1573045,0.11461264,0.04555052632850966,0.05952635,0.0
8.42425919,0.15817559,0.1148223,0.04545477958513447,0.07142857,0.0
8.40241146,0.15587105,0.11257742,0.04545477958513447,0.07936338,0.0
8.3834362,0.15497126,0.11179186,0.04571807966760616,0.0912656,0.0
8.37489128,0.1545893,0.11166844,0.04571807966760616,0.10713523,0.0
8.3595047,0.15455973,0.11197641,0.045119673123304595,0.12698752,0.0
8.34691525,0.15447238,0.11222352,0.044066482962484964,0.13888973,0.0
8.34175777,0.15455011,0.11228142,0.04253456600840955,0.14285715,0.0
8.33378124,0.15048769,0.10930407,0.04143350507225988,0.14682455,0.0
8.32843018,0.14599234,0.10579026,0.04035637692741767,0.14682455,0.0
8.32843018,0.14599234,0.10579026,0.04035637692741767,0.14682455,0.0
8.32645416,0.14559442,0.10478823,0.03884839817372796,0.14682455,0.0
8.3237772,0.13867384,0.10010974,0.03590424920933803,0.14682455,0.0
8.32202625,0.13319618,0.09647175,0.030901591131365116,0.15079196,0.0
8.3213377,0.13250479,0.09547552,0.024702122561146653,0.15079196,0.0
8.3213377,0.13250479,0.09547552,0.024702122561146653,0.15079196,0.0
